List of Pigments: ,Location:,Color Group:,,,Combination Chart:,Albescent Iridescence,Amaranthine Psychopomp,Ancient Argent,Ashen Char,Bianco di San Giovanni,Cerulean-ish Ultramarine,Cherry on Top,Corrupted Vermillion,Crystaline Blue,Drunkard's Pillow,Eburean Sky Sail,Ecru Winnower,Gormenghast Moss,Horizon Bound,Inchoate Wossname,Metallic Sands,Nattier,Orpiment Tabby,Old Guard Vogue Puce,Phylox Paroxysm,Plumbeous Cinder,Sinoper Shroud,Skobeloff Forest,Ten Thousand Emeralds,Warm Sienna
Albescent Iridescence,Bledavik,Gray/White,,,Upper Chart: Prediction,,,,,Abstract Mess,,,,,,,,Subject: Tree of time,,Abstract Mess,,,Scene: Village in a Time Pocket,,,,,Subject: Tree of time,,
Amaranthine Psychopomp,???,Purple,town that starts with e - Eternik?,,Lower Chart: Actualy Done,,,,,,Scene: Magical Catdom,,,Scene: Magical Catdom,,,Abstract Mess,,Scene: Magical Catdom,,,,,Scene: A Land Afar,,,,,,
Ancient Argent,Sand Caverns,,,,,,,,,Abstract Mess,Abstract Mess,,Abstract Mess,Abstract Mess,,Abstract Mess,,Abstract Mess,Abstract Mess,Abstract Mess,,,,,Abstract Mess,,,,,Abstract Mess
Ashen Char,???,Gray,,,,,,,,,Abstract Mess,,,Abstract Mess,Abstract Mess,,,,Abstract Mess,,,,,,,,,,,
Bianco di San Giovanni,Dazil,White,,,,,,Abstract Mess,,,,Subject: Oddly Colored Mech,,,,,,Abstract Mess,,,,,,,,Abstract Mess,Subject: Oddly Colored Mech,,,Abstract Mess
Cerulean-ish Ultramarine,Nortune,Blue,,,,,,,Abstract Mess,,,,,Abstract Mess,Abstract Mess,,,,,,,,,,,Abstract Mess,,,,
Cherry on Top,Nortune,Red,,,,,,,,Subject: Oddly Colored Mech,,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,
Corrupted Vermillion,Dazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystaline Blue,Bledavik,Blue,,,,,Scene: Magical Catdom,,,,Abstract Mess,,,,,,,,,,,,Abstract Mess,,,,,,,
Drunkard's Pillow,???,Orange,,,,,,,Abstract Mess,,Abstract Mess,,,,,,,,,,,,,,,,,,,
Eburean Sky Sail,???,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecru Winnower,Dazil,Yellow,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,Abstract Mess,,,Abstract Mess,Abstract Mess,
Gormenghast Moss,Lahan Village,Green,,,,Subject: Tree of time,,Abstract Mess,,Abstract Mess,,,,,,,,,,Subject: Tree of time,,Scene: Countryside Railroad,,,,,,,,
Horizon Bound,???,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inchoate Wossname,Nortune,Gray/White,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,
Metallic Sands,Sand Caverns,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,
Nattier,Bledavik,,,,,,,,,,,,,,,,,Scene: Countryside Railroad,,,,,,,,,,,,
Orpiment Tabby,Lahan Village,Orange,,,,Scene: Village in a Time Pocket,,,,,,,,Abstract Mess,,,,,,,,,,Abstract mess,,,,,,
Old Guard Vogue Puce,Bledavik,Pink,,,,,Scene: A Land Afar,,,,,,,,,,,,,,,,Abstract mess,,,,,,,
Phylox Paroxysm,???,,,,,,,,,,,,,,,,Abstract Mess,,,,Abstract Mess,,,,,,Subject: A Heart Held Close,,,
Plumbeous Cinder,Sand Caverns,Gray,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,
Sinoper Shroud,Lahan Village,Red,,,,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,,Subject: A Heart Held Close,,,,,
Skobeloff Forest,Sand Caverns,Green,,,,Subject: Tree of time,,,,,,,,,,,,,,,,,,,,,,,,
Ten Thousand Emeralds,Dazil,Green,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,
Warm Sienna,Lahan Village,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Temporary list:,,,,,,,,,,,,,,,,,,,,,,,,,
