v,Location:,Color Group:,,,Combination Chart:,Gormenghast Moss,Orpiment Tabby,Sinoper Shroud,Warm Sienna,Bianco di San Giovanni,Corrupted Vermillion,Ten Thousand Emeralds,Ecru Winnower,Phylox Paroxysm,Albescent Iridescence,Nattier,Old Guard Vogue Puce,Crystaline Blue,Ancient Argent,Metallic Sands,Plumbeous Cinder,Skobeloff Forest,Cerulean-ish Ultramarine,Cherry on Top,Inchoate Wossname,Amaranthine Psychopomp,Ashen Char,Drunkard's Pillow,Eburean Sky Sail,Horizon Bound,Gilded Bronze,Sky Captain's Spruce,Chimerical Sarcoline,True Eigengrau,Lusty Gallan
Gormenghast Moss,Lahan Village,Green,,,,,,,,Abstract Mess,,,,,Subject: Tree of time,Scene: Country side Railroad,,,Abstract Mess,,,,,,Subject: Tree of time,,,,,,,,,,
Orpiment Tabby,Lahan Village,Orange,,,,,,,,,,,,,Scene: Village in a Time Pocket,,Abstract mess,Abstract Mess,,,,,,,,,,,,,,,,,
Sinoper Shroud,Lahan Village,Red,,,,,,,,Subject: Oddly Colored Mech,,,,Subject: A Heart Held Close,,,,Abstract Mess,,,,,Abstract Mess,,,,,,,,,,,,
Warm Sienna,Lahan Village,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,
Bianco di San Giovanni,Dazil,White,,,,Abstract Mess,,Subject: Oddly Colored Mech,Abstract Mess,,,,,,,,,,Abstract Mess,,Abstract Mess,,,Subject: Oddly Colored Mech,,,,,,,,,,Abstract Mess,
Corrupted Vermillion,Dazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Thousand Emeralds,Dazil,Green,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,
Ecru Winnower,Dazil,Yellow,,,,,,,,,,Abstract Mess,,Abstract Mess,,,,,,,,Abstract Mess,,,,Abstract Mess,,,,,,,,,
Phlox Paroxysm,Dazil,Pink,"Note: I ordered this at the bar and was told ""it is not required for a masterpiece.""",,,,,Subject: A Heart Held Close,,,,,Abstract Mess,,,,,,,Abstract Mess,,,,,,,,,,,,,,,
Albescent Iridescence,Bledavik,Gray/White,,,Upper Chart: Prediction,Subject: Tree of time,Scene: Village in a Time Pocket,,,Abstract Mess,,Subject: Tree of time,,,,,,,,,,Subject: Tree of time,,,Abstract Mess,,,,,,,,,,
Nattier,Bledavik,,,,,Scene: Country side Railroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Guard Vogue Puce,Bledavik,Pink,,,,,Abstract mess,,,,,,,,,,,,,,,,,,,Scene: A Land Afar,,,,,,,,,
Crystaline Blue,Bledavik,Blue,,,,,Abstract Mess,Abstract Mess,Abstract Mess,,,,,Abstract Mess,,,,,,,,,Abstract Mess,,,Scene: Magical Catdom,,,,,,,,,
Ancient Argent,Sand Caverns,Gray,,,,Abstract Mess,,,Abstract Mess,Abstract Mess,Abstract Mess,,,Abstract Mess,,,,Abstract Mess,,,,,Abstract Mess,,Abstract Mess,,Scene: Mindscape,,Abstract Mess,Abstract Mess,,,,,
Metallic Sands,Sand Caverns,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,
Plumbeous Cinder,Sand Caverns,Gray,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,
Skobeloff Forest,Sand Caverns,Green,,,,,,,,,,,,,Subject: Tree of time,,,,,,,,,,,,,,,,,,,,
Cerulean-ish Ultramarine,Nortune,Blue,,,,,,Abstract Mess,,,,,,,,,,Abstract Mess,,,Abstract Mess,,,,,,Abstract Mess,Abstract Mess,,,,,,,
Cherry on Top,Nortune,Red,,,,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,,,,,,Subject: Oddly Colored Mech,,,,,,
Inchoate Wossname,Nortune,Gray/White,,,,,Scene: Village in a Time Pocket,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,
Amaranthine Psychopomp,???,Purple,town that starts with e - Eternik?,,Lower Chart: Actualy Done,,,,,,,,Abstract Mess,Abstract Mess,,,Scene: A Land Afar,Scene: Magical Catdom,,,,,Scene: Magical Catdom,,,,,,,Scene: Magical Catdom,,,,,
Ashen Char,???,Gray,,,,,,,,,,,,,,,,Abstract Mess,Scene: Mindscape,,,,Abstract Mess,,,,,Abstract Mess,,Abstract Mess,,,,,
Drunkard's Pillow,Dazil,Orange,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,Abstract Mess,,,,,,,,
Eburean Sky Sail,???,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Bound,???,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilded Bronze,Bledavik,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,
Sky Captain's Spruce,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimerical Sarcoline,Dazil,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Eigengrau,Lahan Village,Gray/White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lusty Gallan,Sand Caverns,Orange,,,,,,,,Abstract Mess,,,,,Scene: Village within a Time Pocket,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Temporary list:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
