List of pigments:,Location:,Color Group:,,,Combination Chart:,Gormenghast Moss,Orpiment Tabby,Sinoper Shroud,Warm Sienna,Bianco di San Giovanni,Corrupted Vermillion,Ten Thousand Emeralds,Ecru Winnower,Phylox Paroxysm,Albescent Iridescence,Nattier,Old Guard Vogue Puce,Crystaline Blue,Ancient Argent,Metallic Sands,Plumbeous Cinder,Skobeloff Forest,Cerulean-ish Ultramarine,Cherry on Top,Inchoate Wossname,Amaranthine Psychopomp,Ashen Char,Drunkard's Pillow,Eburean Sky Sail,Horizon Bound,Gilded Bronze,Sky Captain's Spruce,Chimerical Sarcoline,True Eigengrau,Lusty Gallan,Cubic Periwinkle,Cornsilk Strand,Vitamin B Chartreuse,Infinite Amethyst,Ethereal Mist
Gormenghast Moss,Lahan Village,Green,,,,,,,,Abstract Mess,,,Abstract Mess,,Subject: Tree of time,Scene: Country side Railroad,,,Abstract Mess,,,,,,Subject: Tree of time,,,,,,,,,,,,Abstract Mess,Abstract Mess,,
Orpiment Tabby,Lahan Village,Orange,,,,,,,Abstract Mess,,,,Subject: Corroding Scrap ,,Scene: Village in a Time Pocket,,Abstract mess,Abstract Mess,,,,,,,,Subject: Crowd of Travellers,,,,,,Abstract Mess,,,,Subject: Crowd of Travellers,,,Subject: Crowd of Travellers,
Sinoper Shroud,Lahan Village,Red,,,,,,,,Subject: Oddly Colored Mech,,,,Subject: A Heart Held Close,,,,Abstract Mess,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,Abstract Mess,,,Abstract Mess,
Warm Sienna,Lahan Village,Brown,,,,,,,,Abstract Mess,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,Subject: University-bound Students,Subject: University-bound Students,,
Bianco di San Giovanni,Dazil,White,,,,Abstract Mess,,Subject: Oddly Colored Mech,Abstract Mess,,,,,,,,,,Abstract Mess,,Abstract Mess,,Scene: Above The Clouds,Subject: Oddly Colored Mech,,,,,,,,,,Abstract Mess,,,,,,
Corrupted Vermillion,Dazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Thousand Emeralds,Dazil,Green,,,,,Subject: Corroding Scrap ,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,Abstract Mess,,
Ecru Winnower,Dazil,Yellow,,,,,,,,,,Abstract Mess,,Abstract Mess,,,,,,,,Abstract Mess,,,,Abstract Mess,,Subject: Corroding Scrap ,,,,,,,Subject: Corroding Scrap ,,,,,
Phlox Paroxysm,Dazil,Pink,"Note: I ordered this at the bar and was told ""it is not required for a masterpiece.""",,,,,Subject: A Heart Held Close,,,,,Abstract Mess,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,
Albescent Iridescence,Bledavik,Gray/White,,,Upper Chart: Prediction,Subject: Tree of time,Scene: Village in a Time Pocket,,,Abstract Mess,,Subject: Tree of time,,,,,,,,,,Subject: Tree of time,,,Abstract Mess,,,,,,,,,,,,,,,
Nattier,Bledavik,Blue,,,,Scene: Country side Railroad,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Guard Vogue Puce,Bledavik,Pink,,,,,Abstract mess,,,,,,,Abstract Mess,,,,,,,,,,,,Scene: A Land Afar,,,,,,,,,,,,,,
Crystaline Blue,Bledavik,Blue,,,,,Abstract Mess,Abstract Mess,Abstract Mess,,,,,Abstract Mess,,,,,,,,,Abstract Mess,,,Scene: Magical Catdom,,,,,,Abstract Mess,,,,,,,,
Ancient Argent,Sand Caverns,Gray,,,,Abstract Mess,,,Abstract Mess,Abstract Mess,Abstract Mess,,,Abstract Mess,,,,Abstract Mess,,,,,Abstract Mess,,Abstract Mess,,Scene: Mindscape,,Abstract Mess,Abstract Mess,,,,,,,,,,
Metallic Sands,Sand Caverns,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbeous Cinder,Sand Caverns,Gray,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skobeloff Forest,Sand Caverns,Green,,,,,,,,,,,,,Subject: Tree of time,,,,,,,,,,,,,,,,,,,,,,,,,
Cerulean-ish Ultramarine,Nortune,Blue,,,,,,Abstract Mess,,Scene: Above The Clouds,,,,,,,,Abstract Mess,,,Abstract Mess,,,Abstract Mess,,,Abstract Mess,Abstract Mess,,,,,Abstract Mess,,,,,,,
Cherry on Top,Nortune,Red,,,,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,,,,,,Subject: Oddly Colored Mech,Abstract Mess,,,,,,,,,,
Inchoate Wossname,Nortune,Gray/White,,,,,Scene: Village in a Time Pocket,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthine Psychopomp,???,Purple,town that starts with e - Eternik?,,Lower Chart: Actualy Done,,,,,,,,Abstract Mess,Abstract Mess,,,Scene: A Land Afar,Scene: Magical Catdom,,,,,Scene: Magical Catdom,,,,,Subject: Crowd of Travellers,,Scene: Magical Catdom,,,Abstract Mess,,Subject: Crowd of Travellers,,,,,
Ashen Char,???,Gray,,,,,,,,,,,,,,,,Abstract Mess,Scene: Mindscape,,,,Abstract Mess,,,,,Abstract Mess,,Abstract Mess,,,,,,,,,,
Drunkard's Pillow,Dazil,Orange,,,,,,,,,,,Scene: Soup Kitchen,,,,,,,,,,Abstract Mess,,,,Abstract Mess,,,,,Abstract Mess,,,,Subject: Crowd of Travellers,Subject: Corroding Scrap ,Subject: Corroding Scrap ,Subject: Crowd of Travellers,
Eburean Sky Sail,???,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Bound,???,Blue,,,,Scene: Country side Railroad,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,
Gilded Bronze,Bledavik,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,
Sky Captain's Spruce,Sand Caverns,Brown,,,,,Abstract Mess,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,Subject: University-bound Students,Subject: University-bound Students,,
Chimerical Sarcoline,Dazil,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Eigengrau,Lahan Village,Gray/White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lusty Gallan,Sand Caverns,Orange,,,,,,Abstract Mess,,Abstract Mess,,,,,Scene: Village within a Time Pocket,,,,,,,,,,,,,,,,,,,,,,,,,
Cubic Periwinkle,Dazil,Purple,,,,,Subject: Crowd of Travellers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornsilk Strand,Bledavik,Yellow,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,Scene: Soup Kitchen,,,,Subject: University-bound Students,,,,,,,,
Vitamin B Chartreuse,Nortune,Yellow,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,
Infinite Amethyst,Nortune,Purple,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethereal Mist,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Temporary list:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
