List of pigments:,Location:,Detailed Location:,Color Group:,,,Combination Chart:,Gormenghast Moss,Orpiment Tabby,Sinoper Shroud,Warm Sienna,Bianco di San Giovanni,Corrupted Vermillion,Ten Thousand Emeralds,Ecru Winnower,Phlox Paroxysm,Albescent Iridescence,Nattier,Old Guard Vogue Puce,Crystaline Blue,Ancient Argent,Metalic Sands,Plumbeous Cinder,Skobeloff Forest,Cerulean-ish Ultramarine,Cherry on Top,Inchoate Wossname,Amaranthine Psychopomp,Ashen Char,Drunkard's Pillow,Eburean Sky Sail,Horizon Bound,Gilded Bronze,Sky Captain's Spruce,Chimerical Sarcoline,True Eigengrau,Lusty Gallan,Cubic Periwinkle,Cornsilk Strand,Vitamin B Chartreuse,Infinite Amethyst,Ethereal Mist,Smaragdine Sea,Rotting Pearl,Aureolin Virulence ,Caput Mortuum,Han Purple,Celestial Obsidian,Xanadu,Laminar Claret,A Vague Sense of Unease
Gormenghast Moss,Lahan Village,"House Behind well, inside, first floor behind box on right",Green,,,,,,,,Abstract Mess,,,Abstract Mess,,Subject: Tree of time,Scene: Country side Railroad,,,Abstract Mess,,,,,,Subject: Tree of time,,,,,,,,,,,,Abstract Mess,Abstract Mess,,,,,,,,,,,
Orpiment Tabby,Lahan Village,,Orange,,,,,,,Abstract Mess,,,,Subject: Corroding Scrap ,Abstract Mess,Scene: Village in a Time Pocket,,Abstract mess,Abstract Mess,,,,,,,,Subject: Crowd of Travellers,,,,,,Abstract Mess,,,,Subject: Crowd of Travellers,,,Subject: Crowd of Travellers,,,,Scene: Soup Kitchen,,,,,,
Sinoper Shroud,Lahan Village,,Red,,,,,,,,Subject: Oddly Colored Mech,,,,Subject: A Heart Held Close,,,,Abstract Mess,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,
Warm Sienna,Lahan Village,,Brown,,,,,,,,Abstract Mess,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,Abstract Mess,Subject: University-bound Students,Subject: University-bound Students,,,,,,,,,,,
Bianco di San Giovanni,Dazil,,White,,,,Abstract Mess,,Subject: Oddly Colored Mech,Abstract Mess,,,,,,,,,,Abstract Mess,,Abstract Mess,,Scene: Above The Clouds,Subject: Oddly Colored Mech,,,,,,,,,,Abstract Mess,,,,,,,,,,,,Subject: Panda in Chef Hat & Apron,,Subject: Oddly Colored Mech,Subject: Panda in Chef Hat & Apron
Corrupted Vermillion,Dazil,,,,,,,,,,,,,,,,,,,,,,,,,,SUBJECT: DEMON,,,,,,,,,,,,,,,Scene: City Park,,,,,,,,
Ten Thousand Emeralds,Dazil,,Green,,,,,Subject: Corroding Scrap ,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,Abstract Mess,,,,,,,,,,,
Ecru Winnower,Dazil,,Yellow,,,,,,,,,,Abstract Mess,,Abstract Mess,,,,,,,,Abstract Mess,,,,Abstract Mess,,Subject: Corroding Scrap ,,,,,,,Subject: Corroding Scrap ,,,,,,,,,,,,,,
Phlox Paroxysm,Dazil,,Pink,"Note: I ordered this at the bar and was told ""it is not required for a masterpiece.""",,,,Abstract Mess,Subject: A Heart Held Close,,,,,Abstract Mess,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject: A Heart Held Close,
Albescent Iridescence,Bledavik,,Gray/White,,,Upper Chart: Prediction,Subject: Tree of time,Scene: Village in a Time Pocket,,,Abstract Mess,Abstract Mess,Subject: Tree of time,,,,,,,,,,Subject: Tree of time,,,Abstract Mess,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,
