List of pigments:,Location:,Detailed Location:,Color Group:,,,Combination Chart:,A Vague Sense of Unease,Eburnean Sky-Sail,Ecru Winnower,Gormenghast Moss,Laminar Claret,Orpiment Tabby,Sinoper Shroud,Smaragdine Sea,True Eigengrau,Warm Sienna,Bianco di San Giovanni,Chimerical Sarcoline,Corrupted Vermillion,Cubic Periwinkle,Drunkard's Pillow,Earthen Twine,Horizon Bound,Phlox Paroxysm,Rotting Pearl,Ten Thousand Emeralds,A Flame of Burnt Brandy,Albescent Iridescence,Ashen Char,Aureolin Virulence ,Caput Mortuum,Cornsilk Strand,Crystaline Blue,Gilded Bronze,Nattier,Old Guard Vogue Puce,Ancient Argent,Celestial Obsidian,Han Purple,Lusty Gallan,Metalic Sands,Plumbeous Cinder,Skobeloff Forest,Sky Captain's Spruce,Xanadu,Amaranthine Psychopomp,Cerulean-ish Ultramarine,Cherry on Top,Ethereal Mist,Inchoate Wossname,Infinite Amethyst,Vitamin B Chartreuse
A Vague Sense of Unease,Lahan Village,,Black,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,Abstract Mess,,,Scene: Destroyed City,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,
Eburnean Sky-Sail,Lahan Village,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,,,Scene: Above the Clouds,,,,,
Ecru Winnower,Lahan Village,,Yellow,,,,,,,,,,,,,,,,,,Scene: Soup Kitchen,,Abstract Mess,,,,,,,,,Abstract Mess,,,,,,Abstract Mess,,,,,,,,,,,,,,
Gormenghast Moss,Lahan Village,"House Behind well, inside, first floor behind box on right",Green,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,Abstract Mess,,,,,,,,,,,
Laminar Claret,Lahan Village,,Red,,,,,,,,,,,,,,Subject: Oddly Colored Mech,Subject: A Heart held Close,,,,,,Subject: A Heart held Close,,,,,,Scene: Uncanny Moonlit Sky,,,,,Abstract Mess,,,,,,,,,,,,,,,,,
Orpiment Tabby,Lahan Village,,Orange,,,,,,,,,,,,,,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,Scene: Soup Kitchen,,,,,,,,,,,Subject: Corroding Scrap,,Subject: Corroding Scrap,,,,,,,
Sinoper Shroud,Lahan Village,,Red,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaragdine Sea,Lahan Village,,Green,,,,,,,,,,,,,,,,,,,,,,,Scene: City Park,,,,,,Abstract Mess,Scene: Distorted Ocean Floor,,,,,,,,,,,,,,,,,,,
True Eigengrau,Lahan Village,,Speckled,,,,,,,,,,,,,,,,,,,,,,,Subject: Tree of Time,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,
Warm Sienna,Lahan Village,,Brown,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,Abstract Mess,,,,Abstract Mess,,,,,,,,,,,,,,
Bianco di San Giovanni,Dazil,"First Building on the right, behind boxes",White,,,,Subject: Panda In Chef Hat & Apron,Abstract Mess,,,,,"Subject: Oddly Colored Mech
",,,Abstract Mess,,,,,,,,,,,,,,,,Abstract Mess,,,,Abstract Mess,,Subject: Panda in Chef hat & Apron,,,,,,,,,,,Abstract Mess,,,
Chimerical Sarcoline,Dazil,,Pink (Confirmed by Sylan Troh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,Abstract Mess,,,,,,,,,,,,Subject: Self-Portrait,,
Corrupted Vermillion,Dazil,,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubic Periwinkle,Dazil,,Purple,,,,,,,,,Subject: Crowd Of Travellers,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,
Drunkard's Pillow,Dazil,,Orange,,,,,,Scene: Soup Kitchen,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,
Earthen Twine,Dazil,,Brown,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,Subject: Airship of Infused Ether Iron and Wood,,,,,,,,,,,,,,,
Horizon Bound,Dazil,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phlox  Paroxysm,Dazil,,Pink,"Note: I ordered this at the bar and was told ""it is not required for a masterpiece.""",,,,,,,Subject: A Heart Held Close,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,Scene: A land Afar,,,,,,,,,,,,,,,,,
Rotting Pearl,Dazil,,Gray,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,
Ten Thousand Emeralds,Dazil,,Green,Xin's Favorate Colour,,,,,Abstract Mess,,,,,Scene: City Park,Subject: Tree Of Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Flame of Burnt Brandy,Bledavik,,???,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,
Albescent Iridescence,Bledavik,Side room to the left in weapon shop,Speckled,,,,,,,,,Scene: Village in a time pocket,,,,Abstract Mess,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,
Ashen Char,Bledavik,,Gray,,,,Scene: Destroyed City,,,,,,,,,,,,,,Abstract Mess,,,,,Abstract Mess,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,Abstract Mess,,
Aureolin Virulence ,Bledavik,Final stall Main area on right ,Yellow,,,,,,,Abstract Mess,Scene: Uncanny Moonlit Sky,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,
Caput Mortuum,Bledavik,,Red,,,,,Subject: Oddly Colored Mech,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornsilk Strand,Bledavik,Back area near the rear tents on the right side,Yellow,,,,,,Abstract Mess,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,Subject: University-Bound Students,,,Abstract Mess,,,,,
Crystaline Blue,Bledavik,Far side of Guard area near entrance.,Blue,,,,,,,,,Abstract Mess,Abstract Mess,Scene: Distorted Ocean Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilded Bronze,Bledavik,,Brown,,,,,,,,,,,,,,,,,,Abstract Mess,,,Abstract Mess,,,,,,,,,,,,,,,,,Subject: Kneeling Knight,,,,,,,,,,,
Nattier,Bledavik,,Blue,,,,,,Abstract Mess,Scene: Countryside Railroad,,Abstract Mess,,,,,,,,,,,,Scene: A Land Afar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Guard Vogue Puce,Bledavik,,Pink,,,,,,,,,,,,,,Abstract Mess,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Argent,Sand Caverns,,Gray,,,,,,,,,,,,,,Abstract Mess,,,,,Subject: Airship of Ether Infused Iron and Wood,,Subject: Old Theatere,,,,,,,,,,,,Scene: Old Theatre,,,,,,,,,,,,,,,,
Celestial Obsidian,Sand Caverns,,Black,,,,,,Abstract Mess,,,,,,,Abstract Mess,Subject: Panda In Chef Hat & Apron,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Purple,Sand Caverns,,Purple,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,
Lusty Gallan,Sand Caverns,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metalic Sands,Sand Caverns,,Brown,,,,,,,,,,Abstract Mess,,,,,,,,,,,Abstract Mess,,,,,,,,,,Subject: Kneeling Knight,,,,,,,,,,,,,,,,,,
Plumbeous Cinder,Sand Caverns,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skobeloff Forest,Sand Caverns,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Captain's Spruce,Sand Caverns,,Brown,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,Abstract Mess,,Abstract Mess,,,,Subject: University-bound Students,Abstract Mess,,,,,,,,,,,,,,,,,,,
Xanadu,Nortune,,Green,,,,,,,,,Subject: Corroding Scrap,,,,,,,,,,,,,,,,Subject: Tree of Time,,Abstract Mess,,,,,,Abstract Mess,,,,,,,,,,,,,,,,
Amaranthine Psychopomp,Nortune,,Purple,"town that starts with e - Eternik?
Sylan's Favourate Colour",,,,,Abstract Mess,,,,,,,,,,Subject: Demon,,,,,,,,,,,,,,Scene: Magical Catdom,,,,,,,,,,,,,,,,,,,
Cerulean-ish Ultramarine,Nortune,,Blue,,,,,Scene: Above The Clouds,,,,,Abstract Mess,,Abstract Mess,,,,,,Abstract Mess,,,,,,,,,,,Abstract Mess,Abstract Mess,,,,,,,,,,,,,,,,,,,
Cherry on Top,Nortune,,Red,,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,Abstract Mess,,,,,,,Subject: A Heart Held Close,,,,,,,,,,,,,,,,
Ethereal Mist,Nortune,"In A Block, in one of the buildings near a jukebox",???,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inchoate Wossname,Nortune,,Speckled,,,,,,,,,,,,,,,Subject: Self Portrait,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,
Infinite Amethyst,Nortune,Behind the alter book,Purple,Xin's Favourate Colour,,,,,,,,,,,,,,,,,,,,,Abstract Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B Chartreuse,Nortune,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Temporary list:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paintings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Soup Kitchen + Crowd of Travellers =,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Village in a Time Pocket + Tree of Time = The Legend of Eternik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hello chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,herrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,:rat:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Greetings, friends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
